manufacture	model	serialnum	capacity	RPM	zpool	purchased	notes
WDC	WD10EFRX-68JCSN0	WD-WMC1U6516619	1T	?	a_pool:?		old freebsd root
WDC	WD10EFRX-68JCSN0	WD-WMC1U6430722	1T	?	a_pool:?		old freebsd root	
WDC	WD40EFRX-68WT0N0	WD-WCC4E4JN364Z	4T	5400	b_pool:?		
WDC	WD40EFRX-68WT0N0	WD-WCC4E6UR3J0A	4T	5400	b_pool:?		
WDC	WD5000AADS-00S9B0	WD-WCAV90309122	456G	?	osprey_backup3		
WDC	WD5000AADS-00S9B0	WD-WCAV90105011	456G	?	osprey_backup2		
WDC	WD30EZRX-00D8PB0	WD-WMC4N0DDJFDP	3T	5400	osprey_zackup2c:1		
WDC	WD30EZRX-00D8PB0	WD-WMC4N0E4PV95	3T	5400	osprey_zackup2c:2		
WDC	WD40EZRX-00SPEB0	WD-WCC4EP6EP4TP	4T	5400	osprey_zackup1b:1		errors 2017-11, reslivered
WDC	WD40EZRX-00SPEB0	WD-WCC4EK8ZSY92	4T	5400	osprey_zackup1b:2		errors 2017-11, reslivered
WDC	WD40EZRZ-00GXCB0	WD-WCC7K2RS2HEK	4T	5400	osprey_zackup1c:1	2017-11	
WDC	WD40EZRZ-00GXCB0	WD-WCC7K3DZADCF	4T	5400	osprey_zackup1c:2	2017-11	
WDC	WD40EZRZ-00GXCB0	WD-WCC7K3YPXD0J	4T	5400	osprey_zackup1a:1	2019-03 Amazon	
WDC	WD40EZRZ-00GXCB0	WD-WCC7K0FLVX1C	4T	5400	osprey_zackup1a:2	2019-03 Amazon	
WDC	WD40EZRZ-22GXCB0	WD-WCC7K4KRP758	4T	5400	osprey_zackup2b:1	2019-04-18 Amazon	
WDC	WD40EZRZ-22GXCB0	WD-WCC7K0LDPRJD	4T	5400	osprey_zackup2b:2	2019-04-18 Amazon	
WDC	WD100EFAX-68LHPN0	JEKUX34Z	10T	5400	kettle1	2019-07 Amazon	
WDC	WD100EFAX-68LHPN0	DXM02A0Q	10T	5400	kettle2	2019-07 Amazon	
WDC	WD100EFAX-68LHPN0	JEKB3SEN	10T	5400	kettle3	2019-07 Amazon	
WDC	WD100EFAX-68LHPN0	2YK5K5VD	10T	5400	kettle4	2019-07 Adorama	
